Instrument,Qty.,Avg. cost,LTP,Invested,Cur. val,P&L,Net chg.,Day chg.
AARTIIND,235,390.15,378.35,91684.75,88912.25,-2772.5,-3.02,0.56
ABB,5,5055,5127.4,25275,25637,362,1.43,2.57
ASTRAL,27,1284.4,1407.3,34678.8,37997.1,3318.3,9.57,3.49
AUTOBEES,350,219.64,263.37,76872.5,92179.5,15307,19.91,2.83
BATAINDIA,226,1224.31,1115.5,276693.9,252103,-24590.9,-8.89,1.58
CLEAN,120,1226.97,1186.7,147236.4,142404,-4832.4,-3.28,1.04
CONCOR,43,75.44,539.55,3244,23200.65,19956.65,615.19,2.31
DABUR,50,468.8,523.65,23440,26182.5,2742.5,11.7,0.49
DEEPAKNTR,101,1989.92,1785,200982.35,180285,-20697.35,-10.3,-0.19
HAPPSTMNDS,75,581.55,566.2,43616.25,42465,-1151.25,-2.64,0.2
IRCON,185,147.28,167.2,27247.25,30932,3684.75,13.52,4.27
LIQUIDBEES,37,910.6,999.99,33692.3,36999.63,3307.33,9.82,0
RAYMOND,140,738.64,603.15,103409.21,84441,-18968.21,-18.34,0.59
REL,30,585.72,613.95,17571.74,18418.5,846.76,4.82,1.06
TATAMOTORS,421,706.28,690.15,297345.05,290553.15,-6791.9,-2.28,3.16
TCS,47,3171.98,3112.6,149083,146292.2,-2790.8,-1.87,0.9
